individual,At3,Gy2,Gy3,Gy4,Gy5,Co3,Ca3,Pollinarium export,pollinia import
1,-0.871378,0.187828863,1.443009683,-0.845837,1.501557,0.604619,-2.256540,-0.250455013,-0.137928856
2,0.198384,0.643236904,2.276569917,-0.378581,0.736686,1.271495,-0.907583,0.060533998,0.033499715
3,-0.270974,-0.71699378,0.60019509,-0.527522,0.117829,-1.621125,-2.812089,0.270057807,-0.104595523
4,-2.593725,2.154779707,3.21560554,-1.395799,0.435076,0.785934,-1.499668,-0.127858859,-0.137928856
5,-2.399061,-0.165431853,2.118692632,-1.645298,0.696085,-0.166349,-0.893611,0.036724474,-0.071262189
6,-1.374063,-0.355717501,1.307403839,-0.952785,1.239618,0.084653,-1.165183,-0.008373565,-0.108517091
7,0.346328,0.868644391,1.776149199,-1.662897,1.016600,0.641902,-0.188521,0.403391141,0.062071144
8,-1.683121,0.884842084,2.131650895,-1.041564,-0.520773,0.370783,0.187040,-0.168037431,-0.080785999
9,0.020099,1.596600416,3.256454763,0.356819,-2.120212,0.827880,-0.071066,-0.286264032,0.034484937
10,-0.270041,1.067711537,2.441629706,0.202554,-0.432906,-0.468559,-0.378483,0.170057807,0.095404477
11,0.818594,-0.326349534,1.064383974,0.086661,0.329246,0.511801,-0.677682,0.270057807,-0.137928856
12,0.021199,-0.952139617,-0.068968265,1.505043,-1.401000,-1.711310,0.332780,-0.063275526,-0.047019765
13,2.152621,-0.873342465,0.351449007,1.399780,-0.847183,0.922828,-0.721449,-0.015963698,-0.105670791
14,1.855599,-0.83754439,-0.027088118,2.154832,-0.490632,-0.219476,0.171347,-0.252858859,0.028737811
15,-0.820675,-0.514783631,-0.144503557,0.335526,-0.996633,0.877990,-0.054252,-0.132323145,-0.137928856
16,1.166490,-0.90854924,-0.144217091,-0.867777,1.273800,-1.508925,0.952504,0.242100818,0.152393725
17,1.054230,-2.070210471,-0.643339431,0.522716,-2.304363,-2.010724,-0.534993,0.264502252,-0.054595523
18,-0.972265,-0.497581139,0.305895824,0.883810,-1.401353,-1.407863,-1.813762,-0.209512085,-0.073412727
19,-1.024990,-1.384546208,-0.1696908,-0.193049,-0.512846,-0.495121,-0.815779,-0.306286279,-0.105670791
20,-0.047425,-0.361376064,-0.525470761,0.930617,-1.004092,0.153695,-0.451136,-0.196608859,-0.137928856
21,0.411994,0.696666691,0.233509427,0.164290,-0.353750,-0.159369,-0.470305,0.270057807,-0.037928856
22,-0.515298,-1.18082105,0.329915805,0.763663,-2.092585,-0.540087,-0.196945,-0.239466002,-0.137928856
23,0.308205,0.227303292,1.031529382,1.893762,-2.322904,-1.437390,-0.166105,-0.159108859,-0.106678856
24,-0.191950,0.376613623,0.731652803,1.860975,-1.392794,-0.255607,0.386578,-0.232972496,-0.092474311
