Site,Year,Sex,Survival,SVL,Mass,Log10 SVL,Log10  Mass,Ln SVL,Ln Mass,Ri Condition,Mi Condition,Std SVL,Std Mass,Std Ri Condition,Std Mi Condition,Relative W
Flamingo Bay Cay,2005,f,0,40,0.98,1.602059991,0.29666519,3.688879454,-0.020202707,-0.069315153,1.471270229,-2.084689349,-2.659235669,-1.99755485,-1.422900763,0
Flamingo Bay Cay,2005,f,1,48,1.64,1.681241237,0.421603927,3.871201011,0.494696242,-0.057460051,1.4036978,0.873890533,-0.557324841,-1.655909261,-1.724563394,7.299270073
Flamingo Bay Cay,2005,f,1,47,1.6,1.672097858,0.414973348,3.850147602,0.470003629,-0.051032405,1.461267244,0.504068047,-0.684713376,-1.470674484,-1.467556946,7.299270073
Flamingo Bay Cay,2005,f,0,39,1,1.591064607,0.301029996,3.663561646,0,-0.04924716,1.623133143,-2.454511834,-2.595541401,-1.419226499,-0.744941324,0
Flamingo Bay Cay,2005,f,0,48,1.76,1.681241237,0.440909082,3.871201011,0.565313809,-0.038154896,1.506407395,0.873890533,-0.175159236,-1.099564731,-1.266038416,0
Flamingo Bay Cay,2005,f,0,47,1.7,1.672097858,0.431363764,3.850147602,0.530628251,-0.034641988,1.552596447,0.504068047,-0.366242038,-0.998328196,-1.059837291,0
Flamingo Bay Cay,2005,f,0,44,1.48,1.643452676,0.394451681,3.784189634,0.392042088,-0.030644116,1.656364185,-0.605399408,-1.066878981,-0.883115748,-0.596588462,0
Flamingo Bay Cay,2005,f,0,49,1.9,1.69019608,0.462397998,3.891820298,0.641853886,-0.029454945,1.526105463,1.243713018,0.270700637,-0.848845676,-1.178100611,0
Flamingo Bay Cay,2005,f,0,42,1.34,1.62324929,0.369215857,3.737669618,0.292669614,-0.027026235,1.730875179,-1.345044379,-1.512738854,-0.778854025,-0.263950094,0
Flamingo Bay Cay,2005,f,0,39,1.12,1.591064607,0.326335861,3.663561646,0.113328685,-0.023941294,1.817909121,-2.454511834,-2.213375796,-0.689950843,0.124594289,0
Flamingo Bay Cay,2005,f,0,43.5,1.5,1.638489257,0.397940009,3.772760938,0.405465108,-0.020067222,1.738932138,-0.790310651,-1.003184713,-0.578306115,-0.227981528,0
Flamingo Bay Cay,2005,f,0,45,1.63,1.653212514,0.419955748,3.80666249,0.488580015,-0.019078676,1.702165962,-0.235576923,-0.589171975,-0.549817753,-0.392116242,0
Flamingo Bay Cay,2005,f,0,47,1.8,1.672097858,0.447158031,3.850147602,0.587786665,-0.018847721,1.64392565,0.504068047,-0.047770701,-0.543161994,-0.652117635,0
