Site,Year,Sex,Survival,SVL (mm),Mass (g),Log10 SVL,Log10 Mass,Ln SVL,Ln Mass,Ri Condition,Mi Condition,Std SVL,Std Mass,Std Ri Condition,Std Mi Condition,Relative W
Flamingo Bay Cay,2005,m,0,41,1.3,1.612783857,0.361727836,3.713572067,0.262364264,0.027070457,4.434492086,-2.411067194,-1.968283582,0.780128431,0.44379322,0
Flamingo Bay Cay,2005,m,0,43,1.24,1.633468456,0.350248018,3.761200116,0.21511138,-0.034708942,3.6103219,-2.147562582,-2.005597015,-1.000257685,-1.434871438,0
Flamingo Bay Cay,2005,m,0,43,1.45,1.633468456,0.389166084,3.761200116,0.371563556,0.004209124,4.221747383,-2.147562582,-1.875,0.121300414,-0.041150255,0
Flamingo Bay Cay,2005,m,1,44,1.65,1.643452676,0.423245874,3.784189634,0.500775288,0.014009878,4.450518907,-2.015810277,-1.750621891,0.403742876,0.48032575,2.272727273
Flamingo Bay Cay,2005,m,0,46,1.7,1.662757832,0.431363764,3.828641396,0.530628251,-0.024817363,3.95535972,-1.752305665,-1.719527363,-0.715197788,-0.648370824,0
Flamingo Bay Cay,2005,m,0,46,2,1.662757832,0.477121255,3.828641396,0.693147181,0.020940127,4.653364376,-1.752305665,-1.532960199,0.603461883,0.942704299,0
Flamingo Bay Cay,2005,m,0,49,1.96,1.69019608,0.471291711,3.891820298,0.672944473,-0.051612121,3.696246793,-1.357048748,-1.557835821,-1.487381011,-1.239008906,0
Flamingo Bay Cay,2005,m,1,50,2.44,1.698970004,0.536558443,3.912023005,0.891998039,-0.007681298,4.302505333,-1.225296443,-1.259328358,-0.221363061,0.142934428,2.272727273
Flamingo Bay Cay,2005,m,0,50,2.75,1.698970004,0.574031268,3.912023005,1.011600912,0.029791527,4.849135109,-1.225296443,-1.066542289,0.858545445,1.388956256,0
Flamingo Bay Cay,2005,m,1,51,3.4,1.707570176,0.643452676,3.931825633,1.223775432,0.078299548,5.613257134,-1.093544137,-0.662313433,2.256471128,3.130743409,2.272727273
Flamingo Bay Cay,2005,m,0,52,2.7,1.716003344,0.568201724,3.951243719,0.993251773,-0.017458681,4.178876169,-0.961791831,-1.097636816,-0.503132013,-0.138873562,0
Flamingo Bay Cay,2005,m,0,56,3.23,1.748188027,0.626340367,4.025351691,1.172482137,-0.037584841,3.907366853,-0.434782609,-0.768034826,-1.08313664,-0.757768742,0
Flamingo Bay Cay,2005,m,1,56,3.7,1.748188027,0.672097858,4.025351691,1.30833282,0.008172649,4.47593107,-0.434782609,-0.475746269,0.23552303,0.538251812,2.272727273
Flamingo Bay Cay,2005,m,0,57,3.65,1.755874856,0.667452953,4.043051268,1.294727168,-0.01516463,4.163090239,-0.303030303,-0.506840796,-0.437021034,-0.174856988,0
Flamingo Bay Cay,2005,m,1,58,3.75,1.763427994,0.67669361,4.060443011,1.32175584,-0.024291246,4.036826132,-0.171277997,-0.444651741,-0.700035903,-0.462671228,2.272727273
Flamingo Bay Cay,2005,m,1,58,3.8,1.763427994,0.681241237,4.060443011,1.335001067,-0.019743618,4.090650481,-0.171277997,-0.413557214,-0.568980348,-0.339980669,2.272727273
Flamingo Bay Cay,2005,m,0,59,3.7,1.770852012,0.672097858,4.077537444,1.30833282,-0.046940284,3.76292568,-0.039525692,-0.475746269,-1.352745945,-1.087016914,0
Flamingo Bay Cay,2005,m,1,59,4.3,1.770852012,0.72427587,4.077537444,1.458615023,0.005237727,4.373129844,-0.039525692,-0.10261194,0.150943152,0.303920319,2.272727273
Flamingo Bay Cay,2005,m,0,60,4.13,1.77815125,0.710117365,4.094344562,1.418277407,-0.026670633,3.971952074,0.092226614,-0.208333333,-0.768606136,-0.610549183,0
Flamingo Bay Cay,2005,m,1,60,4.4,1.77815125,0.73239376,4.094344562,1.481604541,-0.004394238,4.231619643,0.092226614,-0.040422886,-0.126635107,-0.018646814,2.272727273
Flamingo Bay Cay,2005,m,1,60,4.55,1.77815125,0.744292983,4.094344562,1.515127233,0.007504985,4.375879403,0.092226614,0.052860697,0.216281991,0.310187835,2.272727273
Flamingo Bay Cay,2005,m,1,60,4.6,1.77815125,0.748188027,4.094344562,1.526056303,0.011400029,4.42396599,0.092226614,0.083955224,0.328531095,0.419799384,2.272727273
Flamingo Bay Cay,2005,m,0,60,4.85,1.77815125,0.767155866,4.094344562,1.578978705,0.030367868,4.664398924,0.092226614,0.239427861,0.875154699,0.967857133,0
Flamingo Bay Cay,2005,m,1,62,4.16,1.792391689,0.712649702,4.127134385,1.425515074,-0.058767352,3.58754881,0.355731225,-0.189676617,-1.693583617,-1.486781834,2.272727273
Flamingo Bay Cay,2005,m,0,62,4.7,1.792391689,0.755874856,4.127134385,1.547562509,-0.015542197,4.053240242,0.355731225,0.146144279,-0.447901944,-0.425255889,0
Flamingo Bay Cay,2005,m,0,62,4.87,1.792391689,0.768638101,4.127134385,1.583093937,-0.002778952,4.199846804,0.355731225,0.251865672,-0.080085069,-0.091071795,0
Flamingo Bay Cay,2005,m,0,62,5.1,1.792391689,0.785329835,4.127134385,1.62924054,0.013912782,4.398196858,0.355731225,0.394900498,0.400944723,0.361059626,0
Flamingo Bay Cay,2005,m,0,62,5.45,1.792391689,0.809559715,4.127134385,1.695615609,0.038142661,4.700033897,0.355731225,0.612562189,1.099212147,1.049085701,0
Flamingo Bay Cay,2005,m,0,62,5.85,1.792391689,0.835690571,4.127134385,1.766441661,0.064273518,5.044990514,0.355731225,0.861318408,1.852262777,1.835401216,0
Flamingo Bay Cay,2005,m,0,63,4.65,1.799340549,0.752048448,4.143134726,1.53686722,-0.036266431,3.802353423,0.487483531,0.115049751,-1.045142097,-0.99714287,0
Flamingo Bay Cay,2005,m,1,63,5.1,1.799340549,0.785329835,4.143134726,1.62924054,-0.002985044,4.170323109,0.487483531,0.394900498,-0.08602431,-0.158369937,2.272727273
Flamingo Bay Cay,2005,m,1,63,5.27,1.799340549,0.797267541,4.143134726,1.662030363,0.008952662,4.309333879,0.487483531,0.500621891,0.258001794,0.158499838,2.272727273
