trial,individual,treatment,larvalArea.um2,hatchTime.mins,settleTime.mins,survivalToReprod,wetWeight4months.g
1,s51a1,LD,41370.938,650,1390,0,
1,s51a3,LD,51561.706,665,715,0,
1,s51a4,HD,42996.28333,695,685,0,
1,s51b1,HD,44647.098,650,1390,0,
1,s51b3,LD,44984.01,665,715,0,
1,s51b4,HD,42838.045,665,415,0,
1,s51b6,LD,49322.5125,680,700,0,
1,s51c4,LD,50315.1825,665,415,1,6.503
1,s52a1,LD,50892.5425,635,445,1,2.412
1,s52a2,LD,54004.095,635,445,0,
1,s52a3,HD,49102.495,635,445,0,
1,s52a5,HD,47791.445,665,1375,0,
1,s52b2,HD,49796.75,635,445,0,
1,s52b4,HD,48827.644,635,745,0,
1,s52b5,HD,49150.965,650,430,0,
1,s52c4,LD,52569.114,650,730,0,
1,s52c5,LD,55704.996,665,415,0,
1,s52d4,LD,46991.886,650,730,0,
1,s53a1,HD,49255.316,635,445,0,
1,s53a2,HD,51753.59,635,445,0,
1,s53a3,HD,48158.196,665,1375,0,
1,s53a4,HD,46474.685,665,415,0,
1,s53a5,HD,49989.6775,650,730,0,
1,s53b1,HD,52665.4825,620,460,0,
1,s53b2,LD,48415.3675,635,445,0,
1,s53b3,LD,52785.23,650,1390,0,
1,s53b5,HD,45021.5525,650,1390,0,
1,s53c1,LD,47250.6725,680,700,0,
1,s53c3,LD,42628.864,635,445,1,6.557
1,s53c5,HD,50340.845,650,730,0,
1,s53d2,LD,48202.8,620,1420,0,
1,s53d3,LD,45807.995,620,760,1,10.037
1,s53d4,LD,43770.845,635,745,0,
1,s53d5,HD,46457.89667,635,745,0,
2,s61a1,LD,57646.82,615,885,1,9.207
2,s61a3,HD,57377.8,645,435,0,
2,s61a4,LD,52049.824,690,390,1,8.416
2,s61a5,LD,49131.955,675,1305,0,
2,s61a6,HD,55593.1375,660,1320,0,
2,s61b1,HD,53990.7925,675,405,1,6.935
2,s61b4,HD,56088.7625,645,435,0,
2,s61b5,HD,56440.974,645,435,0,
2,s61c1,LD,51790.18,645,435,1,8.086
2,s61c2,LD,54524.242,645,435,0,
2,s61c3,LD,56207.178,645,435,1,11.239
2,s61c6,LD,58229.43143,660,420,1,5.83
2,s61d1,HD,59685.2,645,435,0,
2,s61d4,LD,53778.002,645,435,1,8.185
2,s61d6,HD,43463.68,675,405,0,
2,s62a1,HD,53828.7525,645,435,1,8.42
2,s62a2,LD,48212.556,645,855,1,6.599
2,s62a3,HD,43356.005,645,435,0,
2,s62b3,HD,49645.48333,645,435,1,8.23
2,s62b6,LD,49189.93,645,435,0,
2,s62c1,LD,49471.72,645,435,1,1.22
2,s62c5,LD,52549.344,660,420,0,
2,s62d1,HD,47535,645,435,0,
2,s62d2,HD,53886.09,645,435,1,1.568
2,s62d6,HD,55629.7275,660,420,0,
2,s63a5,LD,45519.552,615,885,0,
2,s63a6,HD,45622.82667,630,450,0,
2,s63b2,LD,48508.19,615,465,0,
2,s63b3,LD,53422.176,615,885,0,
2,s63b5,LD,44481.26,630,870,1,9.619
2,s63b6,HD,46011.8475,615,465,1,7.705
2,s63c1,LD,45264.3725,630,450,0,
2,s63c2,LD,45568.9725,615,1365,0,
2,s63d2,LD,53555.35667,645,435,0,
2,s63d4,HD,56018.75,645,435,0,
2,s63d5,HD,47966.7875,630,870,0,
3,s71a1,LD,50514.29,645,1335,0,
3,s71a3,HD,51231.35333,645,435,0,
3,s71a4,LD,47806.6475,660,420,1,6.018
3,s71a6,HD,55238.17,660,420,0,
3,s71b1,HD,48006.38667,630,450,0,
3,s71b2,LD,49402.3425,645,435,0,
3,s71b5,HD,51249.73,660,420,1,7.835
3,s71c3,HD,46291.89667,660,420,1,11.065
3,s71c4,LD,51325.12333,660,420,0,
3,s71c6,LD,56461.785,660,420,1,9.608
3,s71d1,LD,52957.725,630,450,0,
3,s71d4,LD,52698.27,645,435,0,
3,s72a2,HD,49028.84,645,435,0,
3,s72a3,LD,55982.00333,675,405,1,9.573
3,s72a5,LD,55287.5875,660,780,0,
3,s72b1,HD,55227.2375,630,450,0,
3,s72b3,HD,50224.328,630,450,1,8.994
3,s72b4,HD,52527.676,645,435,0,
3,s72b6,LD,57062.526,660,420,1,12.754
3,s72c4,HD,43398.295,660,420,0,
3,s72c5,HD,51509.626,675,405,0,
3,s72c6,LD,41664.418,675,405,1,7.735
3,s72d1,LD,45169.81,645,435,0,
3,s72d2,LD,49734.975,660,420,1,10.421
3,s72d4,LD,47573.518,660,420,0,
3,s72d6,LD,44602.4325,660,420,1,5.029
3,s73a2,HD,59105.68714,660,420,1,4.476
3,s73a5,HD,51440.436,660,420,1,8.768
3,s73b1,LD,50025.3175,630,450,1,7.842
3,s73b2,LD,49918.682,630,810,1,8.152
3,s73b3,HD,56757.51667,645,435,1,7.86
3,s73b4,HD,50627.3825,675,405,0,
3,s73c1,LD,44744.99,630,450,0,
3,s73c2,HD,48932.69333,645,435,0,
3,s73c4,HD,47432.6725,645,435,1,9.028
3,s73d3,HD,43559.22667,630,450,1,8.164
3,s73d4,HD,46176.836,645,435,1,3.662
3,s73d5,HD,45955.775,645,435,1,9.969
4,s81d3,HD,49410.42,675,1485,0,
4,s82a4,LD,57476.005,690,390,0,
