year,tree,bagPerReplicate,gallSizeDiameter_mm,BtreataeEmergence 
2004,3,1,7.43,0
2004,3,1,6.58,0
2004,3,1,7.9,0
2004,3,1,7.01,0
2004,3,1,8.13,0
2004,3,1,6.69,0
2004,3,1,7.92,0
2004,3,1,7.65,0
2004,3,1,7.72,0
2004,3,1,7,0
2004,3,1,7.25,0
2004,3,1,7.45,0
2004,3,1,6.65,0
2004,3,1,6.05,0
2004,3,1,7.37,0
2004,3,1,6.7,0
2004,3,1,7.05,0
2004,3,1,6.77,0
2004,3,1,6.8,0
2004,3,1,8.15,0
2004,3,1,6.5,0
2004,3,1,5.88,0
2004,3,1,6.51,0
2004,3,1,6.79,0
2004,3,1,4.82,0
2004,3,1,4.81,0
2004,3,1,5.19,0
2004,3,1,6.21,0
2004,3,1,5.2,0
2004,3,1,5.54,0
2004,3,1,5.9,0
2004,3,1,4.71,0
2004,3,1,3.13,0
2004,3,1,2.75,0
2004,3,1,5.97,1
2004,3,1,7.13,1
2004,3,1,7.21,1
2004,3,1,7.26,1
2004,3,1,3.84,1
2004,3,1,3.85,1
2004,3,1,4.11,1
2004,3,2,7.62,0
2004,3,2,7.29,0
2004,3,2,7.81,1
2004,3,2,7.37,1
2004,3,2,7.96,0
2004,3,2,6.4,1
2004,3,2,7.35,0
2004,3,2,7.33,1
2004,3,2,5.45,1
2004,3,2,7.38,0
2004,3,2,6.78,0
2004,3,2,6.89,1
2004,3,2,5.97,1
2004,3,2,6.22,1
2004,3,2,6.68,1
2004,3,2,6.56,1
2004,3,2,6.81,0
2004,3,2,5.39,1
2004,3,2,6.75,0
2004,3,2,5.49,0
2004,3,2,5.74,1
2004,3,2,5.54,1
2004,3,2,4.51,1
2004,3,2,5.14,1
2004,3,2,5.53,1
2004,3,2,4.61,1
2004,3,2,5.58,1
2004,3,2,5.1,0
2004,3,2,4.84,0
2004,3,2,5.01,0
2004,3,2,3.64,0
2004,3,2,4.71,0
2004,3,2,4.81,0
2004,3,2,4.08,0
2004,3,2,1.9,0
2004,3,2,3.1,0
2004,3,2,1.58,0
2004,3,2,4.3,1
2004,3,2,4.35,1
2004,3,2,3.24,1
2004,3,2,3.12,1
2004,3,2,4.21,1
2004,3,2,5.22,0
2004,3,2,5.63,0
2004,3,2,6.54,0
2004,3,2,6.79,0
2004,3,3,7.76,1
2004,3,3,8.66,0
2004,3,3,8.32,1
2004,3,3,7.6,1
2004,3,3,8.14,1
2004,3,3,8.41,1
2004,3,3,7.41,1
2004,3,3,7.19,1
2004,3,3,8.45,1
2004,3,3,7.81,1
2004,3,3,8.18,1
2004,3,3,6.74,1
2004,3,3,8.59,1
2004,3,3,6.84,1
2004,3,3,8.25,1
2004,3,3,7.61,1
2004,3,3,7.77,1
2004,3,3,8.3,1
2004,3,3,7.35,1
2004,3,3,5.11,1
2004,3,3,7.03,1
2004,3,3,6.79,1
2004,3,3,7.96,1
2004,3,3,8.32,1
2004,3,3,7.71,1
2004,3,3,7.4,1
2004,3,3,6.89,1
2004,3,3,7.29,0
2004,3,3,8.8,0
2004,3,3,8.05,1
2004,3,3,7.52,0
2004,3,3,7.88,0
2004,3,3,8.18,1
2004,3,3,8.42,1
2004,3,3,6.76,1
2004,3,3,7.92,0
2004,3,3,6.5,1
2004,3,3,7.42,1
2004,3,3,7.33,0
2004,3,3,6.21,1
2004,3,3,7.06,1
2004,3,3,5.86,1
2004,3,3,6.9,1
2004,3,3,7.77,1
2004,3,3,7.48,1
2004,3,3,6.13,1
2004,3,3,6.56,1
2004,3,3,7.1,1
2004,3,3,7.22,1
2004,3,3,5.65,1
2004,3,3,7.66,1
2004,3,3,6.5,1
2004,3,3,7.23,0
2004,3,3,6.44,1
2004,3,3,6.54,1
2004,3,3,4.28,1
2004,3,3,5.3,1
2004,3,3,6.66,0
2004,3,3,6.2,1
2004,3,3,5.57,1
2004,3,3,5.52,1
2004,3,3,6.19,1
2004,3,3,5.91,1
2004,3,3,6.86,0
2004,3,3,5.44,1
2004,3,3,5.67,1
2004,3,3,5.62,0
2004,3,3,5.67,1
2004,3,3,7.3,1
2004,3,3,6.39,1
2004,3,3,5.84,1
2004,3,3,6.04,1
2004,3,3,6.21,1
2004,3,3,5.62,1
2004,3,3,6.11,1
2004,3,3,6.52,1
