ms,sex,trait_1,trait_2,trait_3,trait_4,trait_5,trait_6,trait_7
1,male,1.69284173,0.83850764,0.273025495,0.832134054,0.886568317,1.459070488,0.236411175
0,male,1.715172511,0.91581828,0.467769432,0.779860181,0.947800146,1.559515354,0.222530393
0,male,1.687708605,0.757987604,0.217325608,0.677943852,0.876210554,1.436690259,0.12097032
0,male,1.599877286,0.883682675,0.271902899,0.564279148,0.689557177,1.337779561,-0.038209922
1,male,1.729229529,0.822113838,0.398863934,0.649157341,0.823492963,1.351330702,0.202835529
1,male,1.800462871,0.883946469,0.187166157,0.892388616,0.873154125,1.505981529,0.206047044
1,male,1.678873199,0.822839311,0.36079843,0.693701951,0.720006322,1.443278391,0.124250823
1,male,1.678027121,0.904668077,0.310852053,0.684023179,0.822410086,1.432700935,0.191108981
1,male,1.722357437,0.794107103,0.516867463,0.780656889,0.964185848,1.487814921,0.320113088
0,male,1.644416762,0.752286206,0.363619965,0.467280224,0.753271564,1.193332295,0.006129778
1,male,1.667681317,0.764776372,0.486124376,0.670899283,0.954005248,1.462978378,0.491029958
1,male,1.68518157,0.719819112,0.211657188,0.818802419,0.767001867,1.397403741,0.074908183
0,male,1.673450409,0.744405512,0.260296251,0.806151848,0.720840353,1.356773029,0.017563403
0,male,1.653606087,0.827329014,0.382880072,0.500745223,0.732760556,1.3208566,0.007769247
0,male,1.754527853,0.892923938,0.467838073,0.789479839,0.929377349,1.466377533,0.21741298
1,male,1.692918137,0.77900431,0.31277795,0.582440127,0.756563036,1.304247656,0.176317812
1,male,1.740093606,0.834172778,0.296401593,0.773225303,0.780944124,1.563766878,0.275181748
1,male,1.74947889,0.80000264,0.533429746,0.686941946,0.96265958,1.389097312,0.277458987
0,male,1.701245855,0.827124584,0.343194006,0.532211837,0.865220391,1.498359402,0.191702748
1,male,1.677141682,0.8520894,0.363400042,0.698103112,0.720696121,1.484989861,0.109638057
0,male,1.714082338,0.721737155,0.473651631,0.74417983,0.826327288,1.389151759,0.070826825
0,male,1.729376261,0.910042247,0.396977982,0.855592305,0.9653949,1.524855116,0.288351008
1,male,1.741306895,0.762083263,0.52689008,0.823526064,1.0909766,1.478509813,0.418698866
0,male,1.706964581,0.912600548,0.260914716,0.501987716,0.792121111,1.356283463,0.056143896
1,male,1.665258137,0.808077622,0.410176663,0.553366231,0.870366763,1.316288964,0.122880738
1,male,1.651336716,0.869769985,0.298396214,0.534106776,0.793963817,1.339723058,0.379033557
1,male,1.693191224,0.797397989,0.401731864,0.583012262,0.904788112,1.39676848,0.149298257
1,male,1.717402398,0.864567623,0.298491262,0.589926829,0.833573052,1.506747419,0.192974984
1,male,1.688285959,0.87112084,0.40289759,0.480005422,0.783216653,1.424928093,0.179510096
1,male,1.694320758,0.733294701,0.468229141,0.62912788,0.917629242,1.433677598,0.217777302
0,male,1.721431205,0.785274261,0.213570032,0.520433661,0.865825032,1.336572371,0.171189854
1,male,1.719649758,0.851471112,0.485591421,0.69747427,0.995521301,1.513121623,0.356977105
1,male,1.678659837,0.841251383,0.417874913,0.528768526,0.7742167,1.367608012,0.03562354
