Ind,BodySize_mm,WTotalCops,WTotalZygotes,WTotalHatch
1,44,3,44518,20842
5,150,2,59035,29377
7,144,1,9385,1923
9,154,1,7309,4014
11,134,1,7309,3356
13,148,1,21498,18325
19,143,1,23278,13506
21,144,1,19821,14951
23,146,1,15862,7113
25,134,1,14092,2062
29,143,2,14459,9924
33,138,1,4928,2194
35,141,3,47957,26041
37,122,1,10709,299
41,134,1,9899,3418
43,138,2,47736,19169
47,145,1,25819,23198
49,128,1,22673,5074
59,119,1,7738,2578
7-Mar,125,1,9640,4760
3,141,0,0,0
15,148,0,0,0
17,132,0,0,0
27,133,0,0,0
39,142,0,0,0
45,137,0,0,0
51,112,0,0,0
53,114,0,0,0
55,115,0,0,0
57,114,0,0,0
61,114,0,0,0
63,128,0,0,0
64,125,0,0,0
67,112,0,0,0
69,121,0,0,0
71,117,0,0,0
0,95,0,0,0
NA,114,0,0,0
