Site,Species,ID,RelFitness,stdRGR,stdSLA,stdRMR,stdN,stdDELTA
OPNM,ERLA,1,1.251452397,-0.188449832,0.248213357,0.365502535,0.335207785,0.554741616
OPNM,ERLA,2,0.570004103,-1.229292878,-0.575064556,0.847575966,-1.635629608,-0.225983199
OPNM,ERLA,3,0.670036693,-1.59117892,0.001393832,0.651832085,-2.086611316,0.691581514
OPNM,ERLA,4,0.943080045,-0.786372135,-0.427489325,0.731106693,-0.432049808,0.038998768
OPNM,ERLA,5,0.981710438,-0.149185816,-0.063687629,0.228415671,-0.16275359,0.57129368
OPNM,ERLA,6,0.373120683,-0.786372135,0.909940761,3.002220612,-0.180067963,-0.483458756
OPNM,ERLA,7,0.425985366,-0.786372135,0.351802414,0.251489165,-0.340399059,-0.122046943
OPNM,ERLA,8,0.768320378,3.45892234,0.587282537,-1.09478849,1.387921679,-0.028368197
OPNM,ERLA,9,1.890943077,0.924972028,0.851550486,-0.529383375,1.018317524,-1.472282389
OPNM,ERLA,10,0.78001043,-1.079734363,-0.389161216,-0.05293093,1.062180603,0.052816769
OPNM,ERLA,11,2.179437891,0.92857298,0.419410221,-1.439569171,.,2.464105461
OPNM,ERLA,12,0.704571982,-1.279934535,-0.898269682,0.015340816,0.177993276,0.680617992
OPNM,ERLA,13,0.469038982,-1.427716163,0.142001333,1.979637529,-1.250904234,.
OPNM,ERLA,14,1.02585421,-0.937571371,-0.230254662,-0.400202171,0.587766776,0.276684198
OPNM,ERLA,15,1.035199989,0.060489798,-0.825305838,-0.43402568,0.727320624,0.038640752
OPNM,ERLA,16,0.877637967,-0.995412575,1.122884663,0.495955224,0.425704242,0.605520963
OPNM,ERLA,17,0.55629185,-0.385186816,-0.466215998,0.025721648,.,.
OPNM,ERLA,18,1.409928212,0.755902628,-0.712598577,-0.562067672,0.207773998,-0.335620418
OPNM,ERLA,19,0.674868192,-1.279934535,-0.695485649,-1.234830274,-0.697998581,0.75893056
OPNM,ERLA,20,0.757379274,-1.079734363,-0.43565261,-0.299477629,-1.08203138,0.017624845
OPNM,ERLA,21,1.296412879,-0.527914824,-0.320427521,-0.430333222,0.138170217,-0.205910112
OPNM,ERLA,22,0.43878029,-0.786372135,7.510828266,2.828311366,-2.154483659,.
OPNM,ERLA,23,0.551611521,-0.786372135,-1.29350706,1.684149986,-2.859986655,1.038654837
OPNM,ERLA,24,2.11895581,0.522605629,-0.387590785,-1.866360952,-0.065215954,-1.811485316
OPNM,ERLA,25,0.989729911,-0.149185816,-0.462260566,1.218819261,0.125934727,0.54783384
OPNM,ERLA,26,0.658046949,-0.34438319,0.526964385,1.187453629,-0.183877125,0.790582034
OPNM,ERLA,27,0.715228283,-0.149185816,-0.33618755,0.497610295,0.198308807,0.793126081
