rowID,fishID,lake,SL_cm,meanScaleCirculiSpacing,ascendingProcess_cm,bodyDepth_cm,orbitDiameter_cm,headDepth_cm,jawLength_cm,speciesDiagnosticColoration
1,A007,Barombi Mbo,5.848,40.45138154,0.561345444,1.951632242,0.65332509,1.267674961,0.875890792,pindu
2,A008,Barombi Mbo,6.11,35.42082559,0.595840119,2.116674635,0.616998159,1.285169069,0.917150498,pindu
3,A009,Barombi Mbo,4.589,42.57138734,0.452279933,1.585546621,0.537604901,1.006502717,0.705676312,ambiguous
4,A010,Barombi Mbo,3.858,41.50385337,0.399810061,1.295331972,0.427474653,0.805995955,0.590804317,mariae
5,A012,Barombi Mbo,2.745,34.93984163,0.302846135,0.935519913,0.347502716,0.610565392,0.415778579,pindu
6,A013,Barombi Mbo,6.575,89.29554425,0.650384,2.240378464,0.710369104,1.406760628,1.03099943,mariae
7,A015,Barombi Mbo,6.253,39.74428488,0.639947795,2.110857376,0.642414109,1.356216979,0.949992804,pindu
8,A016,Barombi Mbo,4.763,43.32979289,0.431043816,1.605633634,0.527919199,1.024226601,0.709595424,mariae
9,A017,Barombi Mbo,4.623,43.81326376,0.426990404,1.568065946,0.488476655,0.964981487,0.725117819,pindu
10,A018,Barombi Mbo,4.259,37.15317499,0.449561021,1.45218411,0.513936791,0.949118897,0.696118834,pindu
11,A022,Barombi Mbo,3.785,35.72463319,0.349403791,1.263992659,0.412944656,0.86424531,0.619023938,pindu
12,A023,Barombi Mbo,6.985,61.14420067,0.719706296,2.474915822,0.714505204,1.466650229,1.185441838,pindu
13,A025,Barombi Mbo,5.168,36.11054089,0.506769422,1.818671273,0.548650396,1.09743647,0.791089607,ambiguous
14,A026,Barombi Mbo,4.888,37.27693088,0.514065538,1.638363926,0.596183025,1.104711651,0.745730293,pindu
15,A028,Barombi Mbo,5.852,42.85174163,0.595942182,2.038200619,0.671185228,1.324431677,0.979472723,pindu
16,A029,Barombi Mbo,4.875,40.75321351,0.484065298,1.536469087,0.585224669,1.067920338,0.775879421,mariae
17,A030,Barombi Mbo,4.24,38.23124187,0.418133241,1.408370626,0.471876924,0.914221455,0.639753635,ambiguous
18,A035,Barombi Mbo,8.29,49.129,0.787002248,2.752402214,0.893897084,1.636746961,1.309605505,mariae
19,A036,Barombi Mbo,6.155,104.3996279,0.579451764,2.092573796,0.639571539,1.291438191,0.940622488,pindu
20,A041,Barombi Mbo,3.455,36.85155892,0.321037347,1.150355705,0.395193705,0.757085886,0.500512852,ambiguous
21,A042,Barombi Mbo,4.406,33.81763731,0.422150001,1.507064148,0.512382804,0.951256353,0.689831462,pindu
22,A043,Barombi Mbo,4.465,45.13948226,0.434217455,1.443202421,0.481827315,0.994241716,0.680521414,pindu
23,A044,Barombi Mbo,6.698,65.82253392,0.658504444,2.37510532,0.762207139,1.491017942,1.065912507,pindu
24,A046,Barombi Mbo,5.617,31.60872839,0.564788161,2.025908817,0.690799214,1.286668781,0.921126986,pindu
25,A047,Barombi Mbo,4.583,38.65285978,0.477892746,1.579194709,0.519137292,0.997253155,0.694443979,pindu
26,A049,Barombi Mbo,5.162,39.52348754,0.508488829,1.793620833,0.585162119,1.127577982,0.814026663,pindu
27,A051,Barombi Mbo,6.582,56.74432191,0.625051305,2.224827004,0.668389719,1.474592937,1.021948798,pindu
28,A053,Barombi Mbo,4.92,38.48930718,0.488906115,1.66972012,0.559397177,1.060123272,0.732467866,pindu
29,A055,Barombi Mbo,6.253,35.74069287,0.556423893,2.172722562,0.68780677,1.366505343,0.961529124,pindu
30,A056,Barombi Mbo,6.04,44.72225662,0.583989137,2.138231851,0.647174613,1.280983709,0.965199971,pindu
31,A058,Barombi Mbo,3.728,40.55229045,0.358836134,1.232902965,0.416988229,0.799051332,0.560684372,pindu
32,A059,Barombi Mbo,3.69,39.17353917,0.384464366,1.341999287,0.446588319,0.801594636,0.594911761,mariae
33,A062,Barombi Mbo,4.025,37.45152913,0.362092759,1.284703817,0.479547753,0.809730044,0.597140899,mariae
34,A064,Barombi Mbo,3.913,32.89520757,0.386811318,1.317740525,0.474901562,0.83100039,0.588598677,pindu
35,A067,Barombi Mbo,3.998,37.79469134,0.39551706,1.34555706,0.445969513,0.873277542,0.628720981,pindu
36,A068,Barombi Mbo,3.198,28.86398945,0.326142339,1.089444667,0.42172755,0.738909896,0.527663847,mariae
37,A073,Barombi Mbo,3.647,41.18734034,0.371584727,1.192736962,0.409597703,0.745890205,0.541936948,pindu
38,A074,Barombi Mbo,4.032,39.09280476,0.386486375,1.297905474,0.450864528,0.828625392,0.616487892,mariae
39,A076,Barombi Mbo,5.825,46.98102977,0.554233309,1.983185325,0.701877312,1.253243764,0.912189045,mariae
40,A078,Barombi Mbo,6.095,46.67360342,0.601380857,1.883828791,0.659514842,1.327145278,0.948806781,pindu
41,A082,Barombi Mbo,5.876,38.11653512,0.600661262,2.007240624,0.694951513,1.303546657,0.941535429,pindu
42,A084,Barombi Mbo,8.88,41.77618808,0.754312132,2.718078967,0.961295135,2.147814597,1.472662446,mariae
43,A085,Barombi Mbo,4.702,44.29189751,0.475143859,1.596255469,0.521677553,1.022116123,0.73437394,pindu
