Year	Capture2000	Resight2001a	Resight2001b	Resight2002	Resight2004	Resight2005	Resighted	Episode	CollectionDate	Ring#	Ref_#	Habitat	Sex	Malecolor	Alula	bill_depth	bill_feather	bill_gape	bill_head	bill_nostril	bill_width	brood_patch	claw_hind	claw_inner	claw_middle	claw_outer	foot_span	foot_spanwclaws	kipp	mass	mass_corrected	nostril	primary10	primary9	primary8	tail_gradation	tail_inner	tail_outer	tarsus	tarsus_thick1	tarsus_thick2	toe_hind	toe_inner	toe_middle	toe_outer	wing_length
2000	1	1	0	1	0	0	1	1	11/7/2000	SK1	2	1	0	4	19.2	7.6	12.35	7.7	 	 	5.3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	41	37	19.7	1.9	1.3	 	 	 	 	64
2000	1	0	0	1	0	0	1	1	11/7/2000	SK2	3	1	0	5	20.1	7.2	14.2	7.9	 	 	5.9	 	6.1	3.7	5.4	3.9	24.6	34.1	 	8.8	13.1495	 	 	 	 	2	41	39	21.2	2.2	1.6	9.5	8.2	12.8	7.9	67
2000	1	1	0	1	0	0	1	1	11/7/2000	SK9	4	1	0	5	21.8	7.7	14.2	7.9	 	 	5.2	 	4.2	3	4.2	3.4	25.3	33.1	 	10.2	14.5495	 	 	 	 	5	42	37	21.2	1.9	1.2	11.4	8.8	13.1	9.8	66
2000	1	1	0	0	0	0	1	1	11/7/2000	SK10	5	1	1	 	21.4	6.8	14.9	7.5	 	 	6.5	 	 	3.9	4.8	5	25.2	34.4	 	8.7	13.0495	 	 	 	 	1	39	38	21	1.9	1.4	 	7.6	10.8	8.2	62
2000	1	1	0	0	0	0	1	1	11/7/2000	SK4	7	1	0	5	20.9	7.4	13.3	8	 	 	5.6	 	5	4.2	5.3	3.4	20.5	26.2	9	11.4	15.7495	 	 	 	 	5	42	37	21.3	2	1.3	10.6	8.1	11.9	8.8	65
2000	1	0	0	1	0	0	1	1	11/7/2000	SK14	15	1	0	5	21.15	7.5	15.2	8.6	 	 	7	 	8.1	6.1	6.6	4.5	24.5	30.3	7	10.7	15.0495	 	 	48	 	3	40	37	22	1.9	1.3	10.1	9	12.8	7.3	64
2000	1	1	0	0	0	0	1	1	11/7/2000	SK13	17	1	0	5	19.6	7.3	12.3	7.8	 	 	5.3	 	 	 	 	 	 	 	 	 	 	 	 	50	 	4.5	41	36.5	21.6	1.9	1.3	 	 	 	 	62
2000	1	0	0	1	0	0	1	1	11/7/2000	SK18	18	1	0	5	20.5	8	12.2	7.9	 	 	5.9	 	5	3.2	4.1	4.2	24	32.4	11	9.9	14.2495	 	 	48	 	3.5	41	37.5	21	1.9	1.6	9.7	7	12.5	7.5	64
2000	1	0	0	0	0	0	0	1	11/7/2000	SK12	19	1	1	 	20.7	7.2	13.1	7.9	 	 	5.3	 	8	4.4	5.4	4.3	23.9	32.9	10	9.4	13.7495	 	 	46.5	 	2	44	42	20.1	2	1.4	10.1	7.5	12	7.3	64
2000	1	0	0	1	0	0	1	1	11/7/2000	SK17	20	1	1	 	21.1	7.4	14	8.2	 	 	5.35	 	7.1	3.7	5	3.8	25	32.1	12	8.5	12.8495	 	 	46	 	2	37	35	21.8	2.1	1.3	10.9	7.1	12.6	8.35	61.5
